,title,location,predict_category
134,Technical Solutions Consultant (AI),US,management
135,Regional Sales Director (Cybersecurity),US,marketing
136,Special Education Quantitative Researcher,US,analytics
137,Regional Sales Director (Cybersecurity),US,marketing
138,Senior Technical Product Manager (Web3),US,management
139,Lead AI/ML Scientist (Cybersecurity),US,analytics
140,"Senior Engineering Manager, Dev Tools (Web3)",US,management
141,Product Marketing Manager (AI),US,marketing
142,Lead Sales Engineer (AI),US,marketing
143,Lead Sales Engineer (AI Security),US,marketing
144,Customer Success Manager (EdTech),UK,qa
145,Lead Sales Engineer (AI Security),US,marketing
146,Sales Manager (EdTech),UK,marketing
147,Founding Channel Manager (West) (AI),US,marketing
148,Senior Platform Engineer,Norway,development
149,People Business Partner,UK,management
150,Founding Channel Manager (East) (AI),US,management
151,Senior Go Developer,Norway,development
152,Enterprise Customer Success Manager (AI),US,management
153,Account Manager (Sales) (EdTech),UK,management
154,Developer Relations Engineer (Web3),,development
155,Staff Backend Software Engineer (Java/Scala),Canada,development
156,Research And Innovation Grants Specialist (Web3),UK,analytics
157,Devops Engineer (Web3),,devops
158,Technical Program Manager (Web3),US,management
159,Junior Data Engineer,US,development
160,Cardiac And Pulmonary Rehab Telehealth Physician (Internal Medicine),US,other
161,Cardiac And Pulmonary Rehab Telehealth Physician (Cardiologist),US,other
162,Marketing Influencer/Community Intern,US,marketing
163,Performance Marketing Manager (Ecommerce),Latvia,marketing
164,Senior Product Manager (Fintech),Japan,management
165,Sourcing Team Lead (E-Commerce),Latvia,management
166,Senior Website Visual Designer (UX/UI),US,design
167,Senior Category Manager (E-Commerce),Latvia,management
168,Senior Application Security Engineer,,development
169,Legal Counsel (AI),Latvia,other
170,Senior Site Reliability Engineer (DevOps),,devops
171,Marketing Data Analyst (Ecommerce),Portugal,analytics
172,Video Content Creator (Ecommerce),Latvia,marketing
173,Senior Website Visual Designer (Ux/Ui),US,design
174,Lead Backend Developer (Go),Latvia,development
175,"Senior Corporate Counsel, Data Privacy (Healthcare)",US,other
176,IT Support Engineer,Japan,development
177,Senior iOS Developer (Ecommerce),Latvia,development
178,Senior ML Engineer (Search/Marketing Automation),Latvia,development
179,Software Engineer (AI),Latvia,development
180,Senior Product Manager (ECommerce),Portugal,management
181,Senior Backend Developer (Go),Latvia,development
182,Head Of Experience Design (AI),Spain,design
183,Global Hr Operations Lead,Armenia,management
184,Senior Product Marketing Manager (SaaS),Spain,marketing
185,Senior Backend Engineer (Platform),Spain,development
186,Talent Acquisition (Gamedev),US,management
187,Vp Marketing (SaaS),Germany,marketing
188,Senior Backend Engineer (Fintech),Spain,development
189,Paid Acquisition Manager,Spain,marketing
190,Senior Machine Learning Engineer (AI),Poland,development
191,People Operations AI & Analytics Partner,Germany,analytics
192,Expert Fullstack Engineer,Spain,development
193,Staff Product Manager (AI),US,management
194,Senior Executive It Support Specialist,US,development
195,Staff Analog Layout Engineer,US,other
196,Senior Staff Copywriter (Ai),US,design
197,Senior Software Engineer (Cybersecurity),US,development
198,Character Designer (Game Art),,design
199,Junior Animator (Gamedev),US,design
200,"Senior Analyst, Vpp Performance",US,analytics
201,AI Engineer Intern (Database Performance Knowledge),US,development
202,AI Solutions Intern (AI),US,development
203,Enterprise Solutions Engineer,US,development
204,Enterprise Solutions Engineer (Fintech),US,development
205,Enterprise Solutions Engineer,US,development
206,Customer Marketing Manager (HCP),US,marketing
207,Security Control Specialist (Cybersecurity),,development
208,Travel Associate (Customer Support),Canada,other
209,Junior Data Analyst,Greece,analytics
210,Business Affairs Executive,US,other
211,"Sr. Account Executive, Brand Consulting",US,management
212,Credentialing Manager,US,other
213,Software Engineer (Java),Poland,development
214,Senior Business Analyst (Fintech),Netherlands,analytics
215,Backend Engineer,UK,development
216,Senior Software Developer,Netherlands,development
217,Ai Security Specialist,Netherlands,development
218,Project Manager,Poland,management
219,Associate Copy Editor,US,other
220,Employment Relations Lawyer (Legaltech),Sweden,other
221,Java Developer,Mexico,development
222,Artwork Planning Coordinator (Cpg),,design
223,Planning Executive,UK,other
224,Associate Commercial Counsel (AdTech),US,other
225,Cash Analyst (Fintech),Panama,analytics
226,Senior Revenue Operations Analyst,Mexico,analytics
227,Head Of Human Resources,Spain,management
228,Store Manager (GameDev),,other
229,Conference Producer (Fintech),UK,other
230,Senior Cloud Security Engineer (GenAI),US,development
231,Quantitative Researcher (Fintech),US,analytics
232,Head Of Growth Marketing,US,marketing
233,Senior Product Manager (Freelancer Plus),US,management
234,Mid Market Strategy & Transformation Intern (Fintech),US,management
235,"Group Manager, Quickbooks Customer Experience (Service Experiences)",US,management
236,Product Marketing Manager (Medtech),US,marketing
237,Database Reliability Engineer (PostgreSQL),Canada,development
238,Regional Director (Fintech),US,management
239,Customs Customer Support Specialist,US,other
240,Senior Systems Engineer,US,development
241,Business Manager,,management
242,Hr Generalist,Canada,management
243,Field Advisor Enablement Consultant (Fintech),US,management
244,Hr Generalist,US,management
245,Forward Deployed Engineer - AI Solutions (AI),US,development
246,Generative AI Solutions Consultant (AI),Canada,development
247,Video Producer (Fintech),US,marketing
248,Customer Service Representative,Mexico,other
249,Sr Partner Sales Manager (Fintech),US,management
250,Partner Sales Manager (AI),US,management
251,Senior People Systems & Operations Specialist,US,management
252,Senior Developer Advocacy Engineer (AI),Germany,development
253,Senior Developer Advocacy Engineer (AI),Spain,development
254,Senior Developer Advocacy Engineer (AI),UK,development
255,Senior Developer Advocacy Engineer (AI),Sweden,development
256,Revenue Operations Analyst (SaaS),US,analytics
257,Senior Logging & Detection Engineer (AI),Canada,development
258,Senior Analytics Engineer (Data),US,analytics
259,Senior Data Consultant,US,analytics
260,Senior AI Research Engineer (AI),Australia,development
261,Senior Communications Specialist (Social Media),,marketing
262,Senior Developer Advocacy Engineer (AI),Ireland,development
263,Software Engineer (Ramp Travel),US,development
264,Senior Analytics Engineer (Data),Canada,analytics
265,"Senior Developer, Enterprise AI",Canada,development
266,"Manager, Enterprise AI (AI)",UK,management
267,"Manager, Customer Success, SLED",US,management
268,Recruiting Coordinator (Hrtech),US,management
269,Accounts Payable & Process Specialist (Fintech),Germany,other
270,Senior Software Engineer,US,development
271,"Manager, Web & Digital",US,management
272,Principal Technical Product Manager (AI),US,management
273,"Social, Community & Influencers Manager (Gamedev)",Brazil,marketing
274,Senior Technical Designer (Gamedev),,design
275,Vercel Development Representative (APAC),Australia,development
276,Accounting Manager,,other
277,Senior Technical Recruiter,US,management
278,Staff Memory Circuit Design Engineer,US,other
279,Inbound SMB Sales Specialist,US,management
280,Sr. Software Engineer Fullstack (AI),US,development
281,Principal Software Engineer,US,development
282,"Intern, Finance (Fintech)",US,other
283,Technical Project Manager (AI),Philippines,management
284,Strategic Account Executive (AI),Brazil,management
285,Fullstack Developer (AI),Russia,development
286,Enterprise Account Executive (AI),Brazil,management
287,Staff Software Engineer (L4) Data Platform,US,development
288,ServiceNow Solution Developer,US,development
289,Salesforce Tech Administrator (ERP/CRM),Canada,development
290,Observability Engineer (Dynatrace),US,development
291,Sr. Software Dev Engineer (AI),US,development
292,Sr. Worldwide Specialist - Amazon Bedrock (AI),US,development
293,Senior Brand Designer,Mexico,design
294,Sr. Software Dev Engineer (AI),US,development
295,Lead Producer (Gamedev),US,management
296,Sde-Machine Learning (AI),US,development
297,Sr. Software Dev Engineer (AI),US,development
298,"Sr. Worldwide Specialist - Genai, Foundation Models, Data & Ai Gtm (AI)",US,development
299,MuleSoft Architect,US,development
300,Integrated Campaigns & Abm Lead (Ai),,marketing
301,"Sourcer, Forward Deployed Engineering (AI)",UK,development
302,"Creative Director, Global Partnerships (AI)",UK,design
303,Alliance Partner Executive (Cybersecurity),US,management
304,Chatgpt Consumer Product Marketing (AI),US,marketing
305,Alliance Sales Manager (Cybersecurity),Mexico,management
306,Principal Technical Product Manager (AI/ML),US,management
307,Product Analytics Lead (ATM),Mexico,analytics
308,Recruiting Coordinator,US,management
309,Junior+ DevOps/SRE Engineer,,devops
310,Lead Generation Specialist (SaaS),,marketing
311,Business Development Manager,Russia,management
312,Strategy & Activation Manager (Amazon Ads),US,marketing
313,Strategy & Activation Manager (Amazon Ads),Canada,marketing
314,"Associate Director, Strategy",US,management
315,Strategy & Activation Manager (Amazon Ads),US,marketing
316,"Mgr, Data Analytics",US,analytics
317,Senior Brand Designer,US,design
318,Business Development Analyst (Fintech),US,management
319,Site Reliability Engineer (Infrastructure and Security),US,devops
320,Senior Product Manager (AI),US,management
321,Account Executive (EdTech),US,management
322,Senior Software Engineer (Frontend Focus),US,development
323,"Senior Software Engineer (Backend, Infrastructure Focus)",US,development
324,"Sr. Fraud, Waste, And Abuse Data Analyst (Healthcare)",US,analytics
325,Cg Supervisor,Canada,design
326,Data Scientist,US,analytics
327,Experience Associate (Retail),US,management
328,American Girl Nashville Experienced Associate (Retail),US,management
329,Operations Trainer,US,management
330,"Senior Business Partner, People & Culture",US,management
331,Client Success Manager (Medtech),US,management
332,People & Culture Coordinator,US,management
333,Business Insurance Account Executive (AI),US,management
334,"Account Executive, Enterprise (AI/ML)",US,management
335,"Account Executive, Enterprise Growth (AI/ML)",US,management
336,Sr. Partner Development Manager (Fintech),US,management
337,Content & Social Media Editor Intern (Gamedev),US,design
338,"Technical Lead, Design Verification (AI)",US,development
339,Principal Solutions Engineer (Allegro Package Designer),Brazil,development
340,Sr. Staff Verification Engineer,US,devops
341,Sr. Staff Verification Engineer (AI),US,devops
342,Business Development Rep (Tech Sales),US,management
343,Principal Solutions Engineer (AI),Brazil,development
344,Lead Solutions Engineer (SI/PI/Thermal Analysis),Brazil,development
345,"Senior Engineering Manager, Builder Tools (AI)",US,management
346,Mi Analyst (Business Analytics),Mexico,analytics
347,Mi Analyst (Business Analytics),Mexico,analytics
348,Account Executive (SLED),US,management
349,Solutions Engineer (AI Systems),US,development
350,"Sr. Practice Director, Professional Services",US,management
351,Sales Change Management Director (AI),,management
352,Senior Social Media Manager (Marketing),US,marketing
353,Graphic Designer (Presentation & Communications),US,design
354,Senior Accountant (Qbo Specialist),US,management
355,Product Manager,,management
356,Senior PHP Engineer (Healthcare),Serbia,development
357,Medical Coding Team Lead (Medical),US,management
358,Mission Partner Environment (MPE) T&E Analyst,US,analytics
359,Графический дизайнер,Belarus,design
360,Digital Portfolio & Asset Lead (AI),Poland,design
361,Lead Data Scientist (AI),US,analytics
362,Palantir Foundry Lead-Architect (AI),US,development
363,"Sr. Director, Client Relationship Management Proxy Solutions, Non-Listed Issuer (NLI)",US,management
364,Financial Planning & Analysis Specialist (Power BI),Poland,analytics
365,Angular Developer,Canada,development
366,Technical Operations Manager (AdTech),UK,devops
367,Sales Director (Auto) (AdTech),US,management
368,Key Account Manager (Brazil),Brazil,management
369,"Intern, Systems Engineering",US,development
370,"Intern, Software Engineering",US,development
371,Product Owner (Employer Services),US,management
372,Client Onboarding Consultant (Remote),US,management
373,Client Technical Support Senior,,management
374,Senior Web3 Engineer (Fullstack),,development
375,AI & Process Optimization Intern,US,analytics
376,"Manager, Foreign-Trade Zone (Supply Chain)",US,management
377,Project Controller (Fintech),US,management
378,"Manager, Retail Development",US,management
379,Senior Recruiting Associate,US,management
380,"Director, Marketing",US,marketing
381,Customer Care Specialist II,US,management
382,Senior Integration Developer (Boomi),Romania,development
383,Principal Consultant - Senior Business Analyst (Fintech),US,analytics
384,Senior SAP S/4HANA Developer (SAP),France,development
385,"Senior Analyst, Marketing Analytics (Remote)",US,analytics
386,Accounts Receivable Representative,US,management
387,Corporate Tax Senior Associate (Accounting),US,management
388,Peer Recovery Support Specialist (Medical),US,management
389,Licensed Clinical Supervisor,US,management
390,Staff Data Scientist (Fintech),US,analytics
391,"Manager 3, Design Research (Quickbooks Platform)",US,design
392,Senior Tpm Accountant Suite (Fintech),US,management
393,Staff Design Program Manager,US,design
394,"Manager 2, Corporate Strategy (Fintech)",US,management
395,Senior It Application's Analyst (AI),Mexico,analytics
396,Principal Business Operations Manager (Fintech),US,management
397,Customer Success Manager (EdTech),US,management
398,Software Engineer II,US,development
399,"Senior Manager, Financial Reporting & Technical Accounting (Fintech)",US,management
400,"Director, Partnership Management, APAC (Fintech)",Singapore,management
401,"Business Development Director (Fintech, Web3)",US,management
402,"Director, Product Partnerships & Growth (Fintech)",US,management
403,Sales Development Representative (SaaS),US,management
404,Tech Support Coordinator,Brazil,management
405,Partner Success Manager (Msp Per Client) (Fintech),Brazil,management
406,Psychiatrist (Medtech),US,management
407,Content Writer (Finance),US,design
408,Technical Architect Manager,US,development
409,Build Engineer (Game Development),US,development
410,Senior Software Engineer (Channels),UK,development
411,"Senior Account Manager, Channel (SaaS)",US,management
412,Senior Implementation Engineer,US,development
413,"Senior Program Manager, Global Clinical Training And Programming (EMEA)",Europe,management
414,"Senior Program Manager, Global Clinical Training And Programming (EMEA)",UK,management
415,"Senior Program Manager, Global Clinical Training And Programming (EMEA)",Egypt,management
416,Senior Genomics Sales Specialist (Genomics),Singapore,management
417,Solutions Consultant (Fintech),US,management
418,Customer Success Manager (SaaS),US,management
419,Senior Sales Operations Analyst (Fintech),US,analytics
420,Developer Solution Architect (AI),US,development
421,Senior Client Solutions Engineer,US,development
422,"Manager, Solution Advisory",US,management
423,Business Development Representative (Sales),Brazil,management
424,"Senior Manager, Equity",US,management
425,Client Solutions Engineer Manager,US,management
426,Senior Revenue Accountant (Fintech),US,management
427,Staff Gtm Program Manager,US,management
428,Build Engineer (Gamedev),US,development
429,Senior Brand Manager (Gamedev),US,design
430,Sr. Software Engineer (Fintech),US,development
431,Mid Market Account Executive (SaaS),US,management
432,Care Expert (Medtech),France,management
433,Talent Growth & Inclusion Intern,US,management
434,Principal Level Designer (Gamedev),,design
435,Backend Engineer Team Lead (HealthTech),Portugal,development
436,Software Developer,Canada,development
437,"Engineering Manager, Infrastructure (Web3)",,development
438,"Vp, Design Studio (Uiux Design)",US,design
439,Client Executive,US,management
440,Client Executive,US,management
441,Client Executive (AI),US,management
442,Client Executive,US,management
443,Client Executive (AI),US,management
444,Ai Researcher (Ai Engineering),US,development
445,Client Executive (Enterprise),US,management
446,Lead Digital Operations Support Analyst (Npi),US,analytics
447,Summer Internship - AI Researcher (Healthcare),US,analytics
448,Asic Implementation Engineer,US,development
449,Practice Transformation Specialist (Medtech),US,management
450,"Senior Engineering Manager, AI Teammates Platform (AI)",US,management
451,"Senior Software Engineer, AI Teammates Experience (AI)",US,development
452,Experiential Designer,US,design
453,Brand Designer,US,design
454,Chief Of Staff To CEO,US,management
455,"Senior Account Executive, Enterprise (Fintech)",,marketing
456,Software Engineer (L3) Infrastructure,Canada,development
457,"Partner Consulting, Cio Advisory (Consulting)",US,management
458,Securities Management Operations Senior Specialist (Fintech),US,management
459,Margin Specialist (Fintech),US,analytics
460,"Client Partner, Mid-Market (Services Acquisitions)",US,marketing
461,AI Customer Engineer (AI Engineering),US,development
462,AI Customer Engineer (AI),US,development
463,"Manager, Sales Development",US,marketing
464,"Sales Development Representative (Cybersecurity, French-Speaking)",US,marketing
465,Senior AI Architect (AI Engineering),US,development
466,"Manager, Sales Development",US,marketing
467,Talent Readiness Specialist (Hr),US,management
468,Resident Services Senior Consultant (Remote),US,management
469,Corporate Sales Recruiter (SaaS),US,marketing
470,Event Manager (Marketing),US,marketing
471,Финансовый специалист,Finland,analytics
472,Product Manager II (AI),US,management
473,Strategic AI Adoption Lead (Central),US,management
474,Consultant - Cloud Red Team Blue Team (Remote),US,development
475,Services Operations Analyst,US,management
476,Enterprise AI Adoption Lead (Central),US,management
477,Talent Readiness Coordinator,US,management
478,"Recruiter, Forward Deployed Engineering (AI)",UK,development
479,Senior Brand Manager (Gamedev),,management
480,Deal Specialist (Fintech),US,analytics
481,"Sr. Product Manager, Endpoint Protection Products (Cybersecurity)",US,management
482,"Senior Director, Market Access, Payer Account Management",UK,management
483,Country Director (AdTech),UK,management
484,Mid-Market Account Executive (SaaS),US,marketing
485,Sr. Strategic Finance Manager (SaaS),US,analytics
486,Senior Data Solutions Engineer,Spain,development
487,Senior Frontend Developer (React/Vue),Russia,development
488,Middle Frontend Developer (Vue 3/Nuxt 3),Russia,development
489,Исполнительный директор производства (Chemical),Russia,management
490,Go-To-Market Performance Manager,US,marketing
491,Software Engineer (Fintech),US,development
492,"Associate Vice President, Strategy",US,management
493,Finance Intern,US,analytics
494,Office Manager,US,management
495,Software Engineer II,US,development
496,Education And Workforce Data Strategist,US,analytics
497,Medical Science Liaison (Prenatal),US,management
498,Head of Technical Support (Medtech),,management
499,"Director, Governance",US,management
500,Senior Specialist - Package Implementation (ERP),Brazil,management
501,Sr. Principal AI Architect (IT Workforce Experiences & Communication),US,development
502,"Principal Product Manager, Identity Fraud (AI)",US,management
503,"Manager, Technical Solutions (AdTech)",US,management
504,Inside Sales Representative (Automotive),US,marketing
505,UI/UX Дизайнер,Russia,design
506,Lead Mobile Application Engineer (.Net MAUI / Xamarin),Canada,development
507,Data Platform Architect (AI),US,development
508,Business Development Manager (Gamedev),,marketing
509,Senior Information Security Specialist,US,development
510,Genai Tools Support Engineer,US,development
511,Senior Hr Manager (Biotech),US,management
512,"Manager / Senior Manager, Human Resources (Biotech)",US,management
513,Media Specialist,Mexico,marketing
514,Sr. Sdet (AI),US,qa
515,Information Systems Engineer,US,development
516,Cloud Platform Engineering Manager,US,development
517,VP Front Of House,US,management
518,Lead Backend Developer (AI),Russia,development
519,Content Writer (Prediction Markets),Argentina,analytics
520,Qa Engineer,Paraguay,qa
521,Czech Localization Qa Tester/Proofreader,US,qa
522,Czech Localization Qa Tester/Proofreader,US,qa
523,Business Development Specialist,US,marketing
524,Engagement Manager,UK,management
525,Senior Software Engineer (Azure),US,development
526,Middle QA Manual (GameDev),Armenia,qa
527,iOS-разработчик (Swift),Russia,development
528,Director Of QA (Fintech),Canada,qa
529,Head Of Marketing (SaaS),US,marketing
530,Technical Support Engineer,US,development
531,Middle Android Engineer,Argentina,development
532,Customer Support Professional,Sweden,development
533,.Net Developer (IoT),Sweden,development
534,Product Owner,UK,management
535,Healthcare Strategic Account Executive,US,marketing
536,Senior Devops Engineer (GCP),Ukraine,devops
537,Junior QA Automation Engineer (C#),Russia,management
538,UI/UX Designer (Middle),Serbia,qa
539,Field Sales Account Executive (Fintech),US,marketing
540,"Lead Account Executive, New Sales (Fintech)",Mexico,marketing
541,Partnership Support Specialist (Fintech),,marketing
542,Ils Analyst (Fintech),UK,analytics
543,Business Development Representative,US,marketing
544,Data Analyst,US,marketing
545,Fx Customer Relations Executive (Fintech),Australia,analytics
546,Mapping And Referral Coordinator,US,management
547,Senior Solutions Engineer (SaaS),US,development
548,Senior Android Developer,Cyprus,development
549,Контент-менеджер (TikTok/Shorts),Russia,marketing
550,Program Leader (IT Operations),US,management
551,Site Reliability Engineer (Fintech),US,devops
552,Substance Abuse Counselor (Medical),US,management
553,Head Of Customer Success (Cybersecurity),US,management
554,Senior Account Executive (Federal),US,marketing
555,Ux Designer,US,analytics
556,QA Automation Engineer (Java),Russia,qa
557,UX Designer,US,design
558,Sr. Proposal & Strategic Response Manager (Healthtech),US,management
559,UX Designer,US,design
560,E-Commerce Inside Sales Specialist (Fintech),US,marketing
561,Contact Center Associate (Fintech),US,marketing
562,Developing Markets Officer (Finance),US,management
563,"Vice President, Agency MBS Portfolio Management (Fintech)",US,management
564,Business Outcomes Partner (Media),US,marketing
565,Principal Sales Executive (SaaS),Australia,management
566,Strategic Development Manager (Fintech),US,management
567,Tax Manager (SaaS),US,analytics
568,Lead Observability Engineer (Elastic Stack),US,devops
569,Business Administrator,,management
570,Generative AI Analyst (AdTech),US,analytics
571,Solutions Consultant (Real Estate),US,management
572,Senior Account Executive (Fintech),US,marketing
573,IT Engineer,Poland,development
574,"Manager, Customer Experience Operations (SaaS)",Canada,management
575,"Manager, Customer Experience Operations (SaaS)",US,management
576,Technical Support Engineer,Colombia,development
577,Partner Development Representative (Fintech),US,marketing
578,"Director, Strategic Accounts (AI)",US,management
579,Senior QA Automation Engineer (Fullstack),Russia,qa
580,"Director, Strategic Accounts (AI)",US,management
581,"Director, Strategic Accounts (AI)",,management
582,"Director, Strategic Accounts (AI)",US,management
583,"Director, Strategic Accounts (AI)",Canada,management
584,Gifting Procurement Specialist,US,management
585,"Director, Strategic Accounts (AI)",US,management
586,"Director, Strategic Accounts (AI)",US,management
587,Product Designer (AI),US,design
588,Senior Director - Interactive Marketing (iGaming),US,marketing
589,Концепт-художник (AI),Russia,design
590,Senior Product Manager (Gamedev),US,management
591,Аналитик-разработчик (Python/SQL),Russia,analytics
592,"Software Engineer, Agent (AI)",UK,development
593,Data Engineer,France,development
594,Publisher Success Manager (Adtech),Japan,marketing
595,Staff Recruiter,US,management
596,Senior Engineering Program Manager,Spain,management
597,"Manager, Programmatic Services",US,management
598,Regional Go-To-Market Manager (AdTech),US,marketing
599,Staff Recruiter,Canada,management
600,Staff Recruiter,,management
601,AI Software Engineer,US,development
602,Software Engineer (Backend),Portugal,development
603,Junior C#/.NET Developer,Russia,development
604,Senior Fullstack Engineer (SaaS),US,development
605,Sales Manager (Adtech),UK,management
606,Backend Engineer (Fintech),UAE,development
607,Backend Engineer (Web3),UK,development
608,Backend Engineer (Web3),Switzerland,development
609,Senior Sales Manager (Adtech),UK,management
610,Аналитик-Разработчик Поиска Мультимедиа (Data Analytics),Russia,analytics
611,Client Services Manager (Adtech),US,management
612,Backend Engineer (Fintech),UAE,development
613,Backend Engineer (Web3),Brazil,development
614,PHP Developer,Russia,development
615,Software Engineer (AdTech),France,development
616,Customer Success Executive (AdTech),Spain,management
617,Customer Success Manager (Fintech),,management
618,Client Services Manager (AdTech),Denmark,management
